,artists,album_name,track_name,popularity,explicit,danceability,energy,speechiness,instrumentalness,tempo,track_genre,duration(mm:ss),year,title,category,nominee
73,Shania Twain,90's Music Grandi Successi,You're Still The One,0,False,Poco bailable,0.54,0.0305,0.0,133.774,country,03:32,1998,41st Annual GRAMMY Awards  (1998),Best Female Country Vocal Performance,True
74,Shania Twain,Come On Over,You're Still The One,78,False,Poco bailable,0.494,0.0353,0.0,133.822,country,03:32,1998,41st Annual GRAMMY Awards  (1998),Best Female Country Vocal Performance,True
75,Parachute,Wide Awake,Without You,61,False,Poco bailable,0.864,0.0341,0.0,95.984,acoustic,03:48,1972,15th Annual GRAMMY Awards  (1972),"Best Pop Vocal Performance, Male",True
76,Salty Snacks,Without You,Without You,38,False,Poco bailable,0.161,0.0331,0.000925,129.786,acoustic,02:59,1972,15th Annual GRAMMY Awards  (1972),"Best Pop Vocal Performance, Male",True
77,Deekline;Project 5,Without You,Without You,10,False,Bailable,0.849,0.0776,0.00293,125.024,breakbeat,03:23,1972,15th Annual GRAMMY Awards  (1972),"Best Pop Vocal Performance, Male",True
78,Finding Hope;Holly Drummond,Without You,Without You,43,False,Poco bailable,0.243,0.0636,0.407,87.018,chill,03:45,1972,15th Annual GRAMMY Awards  (1972),"Best Pop Vocal Performance, Male",True
79,Glee Cast,"Glee: The Music, The Complete Season Three",Without You,46,False,Poco bailable,0.749,0.0525,7.44e-06,127.887,club,03:30,1972,15th Annual GRAMMY Awards  (1972),"Best Pop Vocal Performance, Male",True
80,Avicii;Sandro Cavazza,Autopilot,Without You,5,True,Bailable,0.857,0.0429,0.0,133.994,dance,03:01,1972,15th Annual GRAMMY Awards  (1972),"Best Pop Vocal Performance, Male",True
81,Avicii;Sandro Cavazza,Sunny Mornings,Without You,0,True,Bailable,0.857,0.0429,0.0,133.994,dance,03:01,1972,15th Annual GRAMMY Awards  (1972),"Best Pop Vocal Performance, Male",True
82,Embody;Jack Hawitt,Lost & Found EP,Without You,50,False,Bailable,0.696,0.0357,0.000656,119.969,deep-house,03:00,1972,15th Annual GRAMMY Awards  (1972),"Best Pop Vocal Performance, Male",True
83,SLANDER;Kayzo;Dylan Matthew,Without You,Without You,46,False,Poco bailable,0.712,0.0539,0.0,170.06,dub,03:45,1972,15th Annual GRAMMY Awards  (1972),"Best Pop Vocal Performance, Male",True
84,SLANDER;Kayzo;Dylan Matthew,Without You,Without You,46,False,Poco bailable,0.712,0.0539,0.0,170.06,dubstep,03:45,1972,15th Annual GRAMMY Awards  (1972),"Best Pop Vocal Performance, Male",True
85,Avicii;Sandro Cavazza,Autopilot,Without You,5,True,Bailable,0.857,0.0429,0.0,133.994,edm,03:01,1972,15th Annual GRAMMY Awards  (1972),"Best Pop Vocal Performance, Male",True
86,Promoting Sounds;7ru7h,Without You,Without You,46,True,Poco bailable,0.66,0.0306,0.0,140.037,emo,02:44,1972,15th Annual GRAMMY Awards  (1972),"Best Pop Vocal Performance, Male",True
87,Hinder,Take It To The Limit,Without You,57,False,Poco bailable,0.816,0.0333,2.09e-05,136.017,grunge,03:52,1972,15th Annual GRAMMY Awards  (1972),"Best Pop Vocal Performance, Male",True
88,My Darkest Days,My Darkest Days (Deluxe Edition),Without You,46,False,Poco bailable,0.739,0.0295,0.0,161.892,grunge,04:22,1972,15th Annual GRAMMY Awards  (1972),"Best Pop Vocal Performance, Male",True
89,Refuzion,Without You,Without You,46,False,Poco bailable,0.812,0.0343,1.79e-06,149.949,hardstyle,02:57,1972,15th Annual GRAMMY Awards  (1972),"Best Pop Vocal Performance, Male",True
90,高爾宣 OSN,#osnrap,Without You,63,False,Bailable,0.698,0.091,0.0,80.003,mandopop,02:55,1972,15th Annual GRAMMY Awards  (1972),"Best Pop Vocal Performance, Male",True
91,Hinder,Take It To The Limit,Without You,57,False,Poco bailable,0.816,0.0333,2.09e-05,136.017,metal,03:52,1972,15th Annual GRAMMY Awards  (1972),"Best Pop Vocal Performance, Male",True
92,Teenage Bottlerocket,They Came From The Shadows,Without You,23,False,Poco bailable,0.992,0.111,0.000209,188.995,power-pop,02:10,1972,15th Annual GRAMMY Awards  (1972),"Best Pop Vocal Performance, Male",True
93,Mike Williams;Felix Jaehn;Jordan Shaw,pov: it's 2021,Without You,0,False,Bailable,0.871,0.0774,2.11e-06,124.039,progressive-house,02:30,1972,15th Annual GRAMMY Awards  (1972),"Best Pop Vocal Performance, Male",True
94,Mike Williams;Felix Jaehn;Jordan Shaw,"Anímate, es viernes",Without You,0,False,Bailable,0.871,0.0774,2.11e-06,124.039,progressive-house,02:30,1972,15th Annual GRAMMY Awards  (1972),"Best Pop Vocal Performance, Male",True
95,Mike Williams;Felix Jaehn;Jordan Shaw,Without You,Without You,56,False,Bailable,0.866,0.0838,0.0,124.008,progressive-house,02:31,1972,15th Annual GRAMMY Awards  (1972),"Best Pop Vocal Performance, Male",True
96,John De Sohn;Rasmus Hagen,Without You,Without You,59,False,Poco bailable,0.745,0.0619,0.0,124.968,progressive-house,03:02,1972,15th Annual GRAMMY Awards  (1972),"Best Pop Vocal Performance, Male",True
97,Parachute,Wide Awake,Without You,61,False,Poco bailable,0.864,0.0341,0.0,95.984,punk-rock,03:48,1972,15th Annual GRAMMY Awards  (1972),"Best Pop Vocal Performance, Male",True
98,Parachute,Wide Awake,Without You,61,False,Poco bailable,0.864,0.0341,0.0,95.984,punk,03:48,1972,15th Annual GRAMMY Awards  (1972),"Best Pop Vocal Performance, Male",True
99,Ollie,Without You,Without You,50,True,Bailable,0.434,0.131,2.21e-06,115.014,sad,02:16,1972,15th Annual GRAMMY Awards  (1972),"Best Pop Vocal Performance, Male",True
100,Ollie,Even When I'm Happy I Listen To Sad Music,Without You,47,True,Bailable,0.434,0.131,2.21e-06,115.014,sad,02:16,1972,15th Annual GRAMMY Awards  (1972),"Best Pop Vocal Performance, Male",True
101,John De Sohn;Rasmus Hagen,Without You,Without You,59,False,Poco bailable,0.745,0.0619,0.0,124.968,swedish,03:02,1972,15th Annual GRAMMY Awards  (1972),"Best Pop Vocal Performance, Male",True
102,for KING & COUNTRY;Courtney,RUN WILD. LIVE FREE. LOVE STRONG. (Deluxe Anniversary Edition),Without You,44,False,No bailable,0.269,0.0339,0.000234,141.514,world-music,04:52,1972,15th Annual GRAMMY Awards  (1972),"Best Pop Vocal Performance, Male",True
103,Boyce Avenue;Rachel Grae,Let It Go,Let It Go,51,False,Poco bailable,0.349,0.0301,0.0,147.913,acoustic,04:15,2014,57th Annual GRAMMY Awards  (2014),Best Song Written For Visual Media,True
104,Colin & Caroline,Let It Go,Let It Go,55,False,Poco bailable,0.319,0.0356,0.0,145.765,acoustic,03:14,2014,57th Annual GRAMMY Awards  (2014),Best Song Written For Visual Media,True
105,The Infamous Stringdusters,Let It Go,Let It Go,23,False,Bailable,0.375,0.0407,0.0,101.596,bluegrass,02:25,2014,57th Annual GRAMMY Awards  (2014),Best Song Written For Visual Media,True
106,Jon Sarta,Disney Piano Classics 5: From the Corner,Let It Go,21,False,Bailable,0.154,0.0407,0.824,120.076,disney,04:08,2014,57th Annual GRAMMY Awards  (2014),Best Song Written For Visual Media,True
107,D-Block & S-te-Fan;Josh & Wesz,Scantraxx Evolutionz 006,Let It Go,21,False,Bailable,0.873,0.155,0.514,147.994,hardstyle,05:38,2014,57th Annual GRAMMY Awards  (2014),Best Song Written For Visual Media,True
108,Cold Confusion,Let It Go,Let It Go,21,False,Poco bailable,0.957,0.149,0.0,155.011,hardstyle,03:18,2014,57th Annual GRAMMY Awards  (2014),Best Song Written For Visual Media,True
109,Cooltime Kids,Princess Pop,Let It Go,10,False,Poco bailable,0.647,0.0281,0.0,137.076,kids,03:44,2014,57th Annual GRAMMY Awards  (2014),Best Song Written For Visual Media,True
110,The Baseballs,Game Day,Let It Go,26,False,Poco bailable,0.713,0.0894,0.0,167.846,rockabilly,03:24,2014,57th Annual GRAMMY Awards  (2014),Best Song Written For Visual Media,True
111,Sara Bareilles,Little Voice,Love Song,73,False,Poco bailable,0.786,0.0301,0.0,123.055,acoustic,04:18,1974,17th Annual GRAMMY Awards  (1974),"Best Country Vocal Performance, Female",True
112,Khalil Fong,未來,Love Song,48,False,Poco bailable,0.408,0.052,0.0,114.744,cantopop,04:29,1974,17th Annual GRAMMY Awards  (1974),"Best Country Vocal Performance, Female",True
113,Larry Gaaga;Duncan Mighty;Victor AD,Africa Rising Vol.3,Love Song,0,False,Bailable,0.517,0.318,0.00302,108.133,dancehall,03:56,1974,17th Annual GRAMMY Awards  (1974),"Best Country Vocal Performance, Female",True
114,Larry Gaaga;Duncan Mighty;Victor AD,Africa Rising Vol.4,Love Song,0,False,Bailable,0.517,0.318,0.00302,108.133,dancehall,03:56,1974,17th Annual GRAMMY Awards  (1974),"Best Country Vocal Performance, Female",True
115,Khalil Fong,未來,Love Song,48,False,Poco bailable,0.408,0.052,0.0,114.744,mandopop,04:29,1974,17th Annual GRAMMY Awards  (1974),"Best Country Vocal Performance, Female",True
